Alterno;Nombre;P Normal;Marca;Categoria;Unidades Vendidas;Valor Total;Valor Promedio;fecha de compra;Precio 2;Pagar
VN000KW6HR0;VANS OLD SKOOL BLK/PEWTER VN000KW6HR0 # 7;1,890.00;VANS;ZAPATO;4;6,903.00;1,725.75;2/2/2019;L1,790.00;
FOR-5000-BK;PROTECTOR BUCAL FOR-5000-BK;80.00;FORTIS;ACCESORIOS;4;310.00;77.50;8/12/2018;L70.00;
AJ8799-602;T. W NIKE ASHIN MODERN BERRY/BLK AJ8799-602 # 5;2,590.00;NIKE;ZAPATO;4;9,124.00;2,281.00;24/1/2019;L2,390.00;
A1XNY;T. FLYROAM GO KNIT OX BLK A1XNY # 7;3,190.00;TIMBERLAND;ZAPATO;4;11,754.00;2,938.50;22/4/2019;L2,890.00;ESTA BUENO
A1N1V;T. KENDRICK CHELSEA BLACK A1N1V # 11;3,750.00;TIMBERLAND;ZAPATO;4;12,777.75;3,194.44;22/4/2019;L3,390.00;COBRAR
559928C;T.CONVERSE PARTICLE BEIGE 559928C # 5;2,390.00;CONVERSE;ZAPATO;4;4,010.00;1,002.50;24/7/2018;L2,290.00;
076071 01;BOLSO PUMA BLACK 076071 01;590.00;PUMA;ACCESORIOS;4;2,258.00;564.50;30/1/2019;L550.00;
AR5339-001;N.W. AF1 SAGE LCE XX NGHT/PHNTM AR5339-001 # 6;3,250.00;NIKE;ZAPATO;4;12,235.00;3,058.75;15/4/2019;L2,990.00;ESTA BUENO
A1TLW;T. ALTIMETER LEATHER ME JET BLACK A1TLW # 7.5;2,590.00;TIMBERLAND;ZAPATO;4;8,846.00;2,211.50;28/1/2019;L2,390.00;
7-37CMA006602H;T.LACOSTE SIDELINE BLCK 7-37CMA006602H # 7;2,190.00;LACOSTE;ZAPATO;4;7,831.50;1,957.88;2/3/2019;L1,990.00;
366971 01;T. PUMA WIRED KNIT BLK-IRON 366971 01 # 7;1,790.00;PUMA;ZAPATO;4;4,590.00;1,147.50;16/8/2018;L1,590.00;
STWS14B057 03;CALC SP TOP S 3PK NAV/WHT STWS14B057 03 4-7;590.00;SPERRY TOP SIDER;ACCESORIOS;4;1,041.50;260.38;4/2/2019;L550.00;
PRO-FBL-400-BLU/WHT;BALON FUTBOL BLU/WHT PRO-FBL-400 #4;550.00;PROFLITE;ACCESORIOS;4;1,992.15;498.04;4/3/2019;L490.00;
3611S;CACTUS  WORK BOOT RUBBER SOLE WHEAT 3611S # 6.5;2,190.00;CACTUS;ZAPATO;4;6,966.00;1,741.50;23/11/2018;L1,990.00;
SX4921-004;CALCETINES NIKE SB 3PPK NO BLK SX4921-004 # L;450.00;NIKE;ACCESORIOS;4;1,681.50;420.38;24/1/2019;L390.00;
BB0361 823;BALON NIKE DOMINATE BROW/BLK BB0361 823 # 7;790.00;NIKE;ACCESORIOS;4;2,950.50;737.63;8/2/2018;L690.00;
SX6843-010;CALCETINES NK PERF CUSH NS 3P BLK SX6843-010 # M;450.00;NIKE;ACCESORIOS;4;1,693.00;423.25;24/1/2019;L390.00;
5FM00079-103;T.FILA DISRUPTOR II PREMIUN 5FM00079-103 # 6;2,590.00;FILA;ZAPATO;4;9,971.50;2,492.88;28/12/2018;L2,390.00;
904767-001;T. CORTEZ BASIC SL BPV BLK/WHT 904767-001 # 10.5;1,690.00;NIKE;ZAPATO;4;6,253.00;1,563.25;28/11/2018;L1,590.00;
132174C;T.CONVERSE CT OX BLACK 132174C # 7;1,990.00;CONVERSE;ZAPATO;4;7,205.00;1,801.25;11/5/2019;L1,890.00;COBRAR
190975 01;T.P MEGA ZEBRA BLACK 190975 01 # 7;2,150.00;PUMA;ZAPATO;4;4,970.00;1,242.50;2/6/2018;L1,990.00;
8-10900B991;L. PARA NATACIÓN SPEEDO WHITE JUNIOR 8-10900B991;450.00;SPEEDO;ACCESORIOS;4;1,800.00;450.00;5/3/2019;L390.00;
007227780;TRAJE DE BAÑO END JAM MENS NAVY 007227780 #38;590.00;SPEEDO;ROPA;4;2,071.50;517.88;4/3/2019;L490.00;
7-37CFA0030J18;T.LACOSTE LANCELLE NVY/WHT 7-37CFA0030J18 # 5;2,790.00;LACOSTE;ZAPATO;4;10,541.50;2,635.38;2/3/2019;L2,590.00;
191593 01;T. PUMA IGNITE EVOKNIT BLK/ORANGE 191593 01 # 8;2,590.00;PUMA;ZAPATO;4;6,360.00;1,590.00;16/8/2018;L2,390.00;
707456-475;S.N TEE HANGTAG SWOOSH OBSIDIAN 707456-475 # M;750.00;NIKE;ROPA;4;2,940.00;735.00;15/4/2019;L690.00;ESTA BUENO
306387 01;T.P BMW MMS BLACK/GREY 306387 01 # 7;2,190.00;PUMA;ZAPATO;4;7,793.50;1,948.38;30/1/2019;L1,990.00;
5557R;T. EK STORMBUCK DK BROWN 5557R # 7;3,590.00;TIMBERLAND;ZAPATO;4;12,303.31;3,075.83;28/1/2019;L3,290.00;
PRO-844-9-XS;ESPINILLERAS BL/RD/YELL  XS  PRO-844-9-XS;190.00;PROFLITE;ACCESORIOS;4;760.00;190.00;20/5/2019;L150.00;ESTA BUENO
802199;Z. MR JONES COLORADO BLACK 802199 # 6;1,990.00;MR JONES;ZAPATO;4;7,196.50;1,799.13;19/1/2019;L1,790.00;
800973;MRJ COLORADO BROWN 800973 # 6;1,990.00;MR JONES;ZAPATO;4;6,566.00;1,641.50;19/1/2019;L1,790.00;
A1N19;T. KENDRICK BLACK A1N19 # 11;4,190.00;TIMBERLAND;ZAPATO;4;14,686.50;3,671.63;30/10/2018;L3,790.00;
A1NQ5;Z.T. FLYROAM TRAIL MID FA FORGED GREY A1NQ5 # 7.5;3,290.00;TIMBERLAND;ZAPATO;4;11,894.50;2,973.63;22/2/2019;L2,990.00;
FOR-1559-YL;BANDA FORTIS SPORT WHITE FOR-1559-YL;250.00;FORTIS;ACCESORIOS;4;962.50;240.63;8/12/2018;L220.00;
BA5351 011;GYMSACK HERITAGE BLK/WHT BA5351-011;590.00;NIKE;ACCESORIOS;4;2,071.50;517.88;15/4/2019;L490.00;ESTA BUENO
STS82279;Z. SPERRY 7 SEAS SPORT GREY STS82279 # 5.5;2,490.00;SPERRY TOP SIDER;ZAPATO;4;6,785.00;1,696.25;1/12/2018;L2,390.00;
VN-0EWZNVY;TENIS VANS ERA NAVY VN-0EWZNVY # 6.5;1,650.00;VANS;ZAPATO;4;3,960.00;990.00;16/3/2018;L1,490.00;
KL160548;T.KEDS ACE BOW JR PINK KL160548 # 5C;1,290.00;KEDS;ZAPATO;4;2,360.00;590.00;20/8/2018;L1,150.00;
SX4701 101;CALCETA NIKE WHITE SX4701 101 M;490.00;NIKE;ACCESORIOS;4;1,920.00;480.00;8/2/2018;L450.00;
367728 02;T.P PLATFORM TRACE WHITE 367728 02 # 5.5;2,790.00;PUMA;ZAPATO;4;6,760.00;1,690.00;16/8/2018;L2,650.00;
8-10837C729;T. DE BAÑO DAMA BK/PNK 8-10837C729 # 30;590.00;SPEEDO;ROPA;4;1,953.50;488.38;4/3/2019;L490.00;
RLF8034TF SLATE;SANDALIA KENNET COLE BLK RLF8034TF SLATE # 8;1,290.00;KENNETH COLE;SANDALIAS;4;3,031.50;757.88;4/12/2018;L1,190.00;
7-37CMA0018092;S.LACOSTE CROCO SLIDE NVY/WHT 7-37CMA0018092 # 7;990.00;LACOSTE;SANDALIAS;4;3,750.00;937.50;2/3/2019;L950.00;
WF60463;K. KICKSTART SATIN LIGHT PEACH WF60463 # 5;1,590.00;KEDS;ZAPATO;4;4,970.00;1,242.50;30/1/2019;L1,490.00;
A1L60 I19;CAMISA TIMBERLAND SS BRAND TREE BLK A1L60 I19 S;790.00;TIMBERLAND;ROPA;4;2,853.00;713.25;30/10/2018;L690.00;
10073;T. 6IN PREM BT BLACK 10073 # 11;4,590.00;TIMBERLAND;ZAPATO;4;15,926.00;3,981.50;30/10/2018;L4,390.00;
A1RLJ;Z.T. BRADSTREET OXFOR BLACK/MESH A1RLJ # 7.5;2,590.00;TIMBERLAND;ZAPATO;4;9,681.50;2,420.38;22/2/2019;L2,390.00;
AV3172-100;T.N. COURT BOROUGH LOW WHT/WHT AV3172-100 # 6C;1,390.00;NIKE;ZAPATO;4;4,861.50;1,215.38;24/1/2019;L1,290.00;
802186;MRJ TROCA DARK BROWN 802186 # 6;1,990.00;MR JONES;ZAPATO;4;6,523.20;1,630.80;19/1/2019;L1,790.00;
0197632;Z. SPERRY A/O OATMEAL TAN 0197632 # 12;2,990.00;SPERRY TOP SIDER;ZAPATO;4;11,131.00;2,782.75;1/12/2018;L2,790.00;
BA5776-013;NIKE. PORTADOCUMENTOS BLK BA5776-013;750.00;NIKE;ACCESORIOS;4;2,838.00;709.50;22/2/2019;L690.00;
367455 03;T.P SUEDE BOW PURPLE 367455 03 # 5.5;2,190.00;PUMA;ZAPATO;4;4,360.00;1,090.00;16/8/2018;L1,990.00;
369124 03;T.P ELECTRON STREET GREY 369124 03 # 7;1,990.00;PUMA;ZAPATO;4;7,561.50;1,890.38;30/1/2019;L1,890.00;
STS83587;T. SPERRY CREST VIBE LINEN RED STS83587 # 5.5;1,790.00;SPERRY TOP SIDER;ZAPATO;4;6,333.50;1,583.38;28/1/2019;L1,590.00;
190508 05;T.P IGNITE FLASH EVO KENIT BLK 190508 05 # 7;2,190.00;PUMA;ZAPATO;4;7,575.00;1,893.75;30/1/2019;L1,990.00;
WF60406;T.K. TRIPLE DECKER REVERSE PINK WF60406 # 5;1,690.00;KEDS;ZAPATO;4;5,855.50;1,463.88;30/1/2019;L1,590.00;
A1U4H;T. SQUALL CANYON PT OXF COPPER BRW A1U4H # 7.5;3,390.00;TIMBERLAND;ZAPATO;4;10,951.50;2,737.88;30/10/2018;L3,190.00;
843896-017;T.N SB CHECK SOLAR BLK/WHT 843896-017 # 6.5;1,990.00;NIKE;ZAPATO;4;7,471.50;1,867.88;16/4/2019;L1,890.00;COBRAR
VN0A38G1U4C;T.V OLD SKOOL GUM OUTSOLE VN0A38G1U4C # 6.5;1,990.00;VANS;ZAPATO;4;6,640.00;1,660.00;17/8/2018;L1,890.00;
921443-005;T. NIKE STAR RUNNER BPV BLACK 921443-005 # 10.5;1,690.00;NIKE;ZAPATO;4;5,746.50;1,436.63;28/11/2018;L1,590.00;
RSM4-164AM BLACK;Z. KENNET COLE MAROON BLACK RSM4-164AM # 7.5;1,790.00;KENNETH COLE;ZAPATO;4;3,585.00;896.25;4/12/2018;L1,590.00;
STMS14B001-03;SPERRY MEDIAS GREY/GREEN/NAVY STMS14B001 03 ;550.00;SPERRY TOP SIDER;ACCESORIOS;4;1,328.00;332.00;#N/A;#N/A;
343881 011;SANDALIA BENASSI BLACK 343881 011 # 5;990.00;NIKE;SANDALIAS;4;3,840.00;960.00;25/2/2019;L950.00;
STS18225;Z.SPERRY LEEWARD NAUT NAVY/WH STS18225 # 7;2,990.00;SPERRY TOP SIDER;ZAPATO;4;6,080.00;1,520.00;18/8/2018;L2,790.00;
7-37CUC0027042;T.LACOSTE LEROND  WH/BL 7-37CUC0027042  # 11C;1,790.00;LACOSTE;ZAPATO;4;6,312.50;1,578.13;2/3/2019;L1,590.00;
VN000VHENWD;T.V OLD SKOOL NAVY VN000VHENWD # 10.5C;1,490.00;VANS;ZAPATO;4;4,160.00;1,040.00;17/8/2018;L1,390.00;
AQU-9000;LENTES/GORRO  AQUATEK AQU-9000;290.00;AQUATEK;ACCESORIOS;3;750.00;250.00;20/5/2019;L250.00;ESTA BUENO
854377 01;TOP DAMA PUMA  BLACK  854377 01 # XS;550.00;PUMA;ROPA;3;1,370.00;456.67;10/5/2019;L490.00;COBRAR
306428 01;T.P SF DRIF CAT 7S ULTRA V INF 306428 01 # 5C;1,390.00;PUMA;ZAPATO;3;3,692.00;1,230.67;10/5/2019;L1,290.00;COBRAR
015831 NVY;T. RS DEFY 2.0 NAVY 015831 # 6.5;990.00;RS PERFORMANCE;ZAPATO;3;2,721.50;907.17;13/5/2019;L890.00;ESTA BUENO
SX4722 001;CALCETA NIKE 3P YTH BLACK SX4722 001 S;390.00;NIKE;ACCESORIOS;3;1,090.00;363.33;8/2/2018;L350.00;
PRO-HP18-BL;BOMBA P/INFLAR HD  AZUL 28-54 PRO-HP18-BL;190.00;PROFLITE;ACCESORIOS;3;530.00;176.67;20/5/2019;L150.00;ESTA BUENO
012991 BLK;T. RS DARE 2.0 BLK 012991 # 6.5;990.00;RS PERFORMANCE;ZAPATO;3;2,770.00;923.33;13/5/2019;L890.00;ESTA BUENO
VN0000QFKBKA;T. VANS ERA  BLACK VN000QFKBKA # 7;1,650.00;VANS;ZAPATO;3;4,695.00;1,565.00;10/5/2019;L1,490.00;ESTA BUENO
854235 21;CAMISA  DAMA PUMA PINK 854235 21 # XS;850.00;PUMA;ROPA;3;2,260.00;753.33;10/5/2019;L790.00;COBRAR
STK159835;Z. SPERRY CREST VIBE PERF ROSE STK159835 # 3.5;1,590.00;SPERRY TOP SIDER;ZAPATO;3;2,970.00;990.00;1/12/2018;L1,390.00;
021934 01;GORRA PUMA BMW M MOTOR SPORT BK 021934 01;650.00;PUMA;ACCESORIOS;3;1,830.00;610.00;10/5/2019;L590.00;ESTA BUENO
7-37CMA0073312;T.LACOSTE BAYLISS BLK/WHT 7-37CMA0073312 # 7;2,790.00;LACOSTE;ZAPATO;3;7,533.00;2,511.00;2/3/2019;L2,590.00;
075493 06;BOLSO PUMA VIBE NAVY 075496 06;450.00;PUMA;ACCESORIOS;3;1,239.00;413.00;10/5/2019;L390.00;ESTA BUENO
021952 01;GORA PUMA  RED BULL  NAVY 021952 01;650.00;PUMA;ACCESORIOS;3;1,899.00;633.00;10/5/2019;L590.00;ESTA BUENO
369161 02;"T.P CALI NUBUCK WN""S PURPLE 369161 02 # 5.5";2,590.00;PUMA;ZAPATO;3;6,981.50;2,327.17;10/5/2019;L2,390.00;COBRAR
8-09191A670;SPEEDO POOL SIDE BAG BLUE/GREY 8-09191A670;490.00;SPEEDO;ACCESORIOS;3;735.00;245.00;28/3/2017;L450.00;
369155 03;T.P CALI BLACK/WHITE 369155 03 # 5.5;2,190.00;PUMA;ZAPATO;3;6,370.00;2,123.33;30/1/2019;L1,990.00;
STS17395;SPERRY BAHAMA II BOAT WHITE STS17395 # 7.5;1,990.00;SPERRY TOP SIDER;ZAPATO;3;4,370.00;1,456.67;22/7/2018;L1,850.00;
12668;T. WHITE LEADGE BROWN 12668 # 9;2,950.00;TIMBERLAND;ZAPATO;3;7,755.40;2,585.13;22/4/2019;L2,650.00;COBRAR
563478C;CONVERSE CTAS DAINTY OX BEIGE 563478C # 5.5;1,590.00;CONVERSE;ZAPATO;3;4,570.00;1,523.33;11/5/2019;L1,390.00;ESTA BUENO
306195 01;T.P BMW ROMA BLACK 306195 01 # 7;2,690.00;PUMA;ZAPATO;3;4,017.40;1,339.13;16/8/2018;L2,490.00;
A1OBW M29;C. LS FLNNL MED GNGH GD  MICRO CH A1OBW M29 L;1,890.00;TIMBERLAND;ROPA;3;5,292.00;1,764.00;26/11/2018;L1,690.00;
STS82605;Z SPERRY HAVEN LACE UP ROSE STS82605 # 5.5;2,390.00;SPERRY TOP SIDER;ZAPATO;3;4,485.41;1,495.14;1/12/2018;L2,190.00;
364504 03;T.P BASKET CLASSIC LFS PS BK 364504 03 # 11C;1,390.00;PUMA;ZAPATO;3;4,070.00;1,356.67;10/5/2019;L1,290.00;ESTA BUENO
367638 04;T.P VIKKY GLITZ AC INF PURPLE 367638 04 # 5C;1,190.00;PUMA;ZAPATO;3;3,395.00;1,131.67;#N/A;#N/A;
7-37CUI0014F50;T.LACOSTE LEROND PNK/WHT 7-37CUI0014F50 # 5;1,790.00;LACOSTE;ZAPATO;3;4,995.00;1,665.00;2/3/2019;L1,590.00;
075953 01;BOLSO DE PUMA CORE UP LARGE BLK 075953 01;850.00;PUMA;ACCESORIOS;3;2,430.00;810.00;10/5/2019;L790.00;ESTA BUENO
017011 NVY;T. RS PERFORM NAVY/BLK 017011 # 6.5;990.00;RS PERFORMANCE;ZAPATO;3;2,970.00;990.00;13/5/2019;L890.00;ESTA BUENO
191097 08;T.P NRGGY NEKO ENGINEER WH/BK 191097 08 # 7;2,190.00;PUMA;ZAPATO;3;6,170.00;2,056.67;10/5/2019;L1,990.00;ESTA BUENO
8-069468696;FLOTADOR SEA SQUAD PINK 2-6 YEAR;350.00;SPEEDO;ACCESORIOS;3;525.00;175.00;31/10/2016;L290.00;
360263 22;S.PUMA LEADCAT RED 360263 22 # 7;850.00;PUMA;SANDALIAS;3;2,365.00;788.33;10/5/2019;L750.00;ESTA BUENO
BA5301 010;BOLSO NIKE  BLACK BA5301 010 ;550.00;NIKE;ACCESORIOS;3;1,507.50;502.50;6/6/2018;L490.00;
WH58988;T.K. TRIPLE RUFFLE ROSE WH58988 # 5.5;2,390.00;KEDS;ZAPATO;3;3,870.00;1,290.00;30/11/2018;L2,190.00;
8-069468919;FLOTADOR SPEDO SEA SQUAD BLUE 8-069468919 2-6 YEAR;350.00;SPEEDO;ACCESORIOS;3;525.00;175.00;31/10/2016;L290.00;
908984 400;T.N DOWNSHIFTER NAVY/WHT 908984 400 # 7.5;2,190.00;NIKE;ZAPATO;3;6,241.50;2,080.50;24/1/2019;L1,990.00;
A1LPG 433;CAMISA TIMBERLAND S DUNSTAN DARK BLUE A1LPG 433 S;790.00;TIMBERLAND;ROPA;3;1,975.00;658.33;25/7/2018;L750.00;
7-36CAC0002312;T.LACOSTE AMPTHILL BLACK/WHITE 7-36CAC0002312 # 2;1,790.00;LACOSTE;ZAPATO;3;2,670.00;890.00;7/12/2018;L1,590.00;
8-097968910;SPEEDO LENTE BLK 8-097968910 ;790.00;SPEEDO;ACCESORIOS;3;1,461.50;487.17;28/3/2017;L750.00;
A1RIK;T.EURO SPRINT SPORT ICED COFFEE SUEDE A1RIK # 7.5;3,290.00;TIMBERLAND;ZAPATO;3;8,811.50;2,937.17;30/10/2018;L2,990.00;
FOR-1089-BL-L;GUANTE FORTIS PARA PESAS BLUE  FOR-1089-BL-L;350.00;FORTIS;ACCESORIOS;3;999.00;333.00;4/3/2019;L290.00;
A1QC0;Z.T SAWYER LANE WR BRW A1QC0 # 7.5;3,190.00;TIMBERLAND;ZAPATO;3;9,091.50;3,030.50;28/1/2019;L2,990.00;
VN000EYEBKA;VANS CLASSIC SLIP-ON BLK VN000EYEBKA # 4;1,590.00;VANS;ZAPATO;3;4,670.00;1,556.67;10/5/2019;L1,490.00;ESTA BUENO
204537-1ASJ;SANDALIA  CROCS BEIGE/WHT 204537-1AS # J1;790.00;CROCS;SANDALIAS;3;2,420.00;806.67;15/5/2017;L0.00;
7-36SPC0002F50;Z LACOSTE CARNABY PINK 7-36SPC0002F50 # 2;1,790.00;LACOSTE;ZAPATO;3;4,101.50;1,367.17;7/12/2018;L1,590.00;
AQU-AQ-C05;SNORKEL AQUATEK BLACK AQU-AQ-C05;790.00;AQUATEK;ACCESORIOS;3;2,370.00;790.00;1/10/2018;L750.00;
924339-601;T. NIKE FLEX TRAINER 8 MTLC 924339-601 # 5;2,490.00;NIKE;ZAPATO;3;6,996.50;2,332.17;28/11/2018;L2,390.00;
367285 02;SANDALIA PUMA POPCAT GREY 367285 02 # 4;890.00;PUMA;SANDALIAS;3;2,470.00;823.33;16/8/2018;L790.00;
FOR-5000-TBR;PROTECTOR BUCAL FOR-5000-TBR;80.00;FORTIS;ACCESORIOS;3;240.00;80.00;8/12/2018;L70.00;
343880-024;S. BENASSI JDI GREY/NAVY 343880-024 # 8;990.00;NIKE;SANDALIAS;3;2,583.50;861.17;16/4/2019;L950.00;COBRAR
A1JFH;Z.T EURO SPRINT SPORT WHTE/BLK A1JFH # 7;2,990.00;TIMBERLAND;ZAPATO;3;3,600.00;1,200.00;9/2/2018;L2,790.00;
204590 100;SANDALIA CROCS SPECIALIST 2 WHT 204590 100 # 6;1,450.00;CROCS;SANDALIAS;3;3,552.50;1,184.17;23/7/2018;L1,250.00;
367732 03;T.P SUEDE 367732 03 GREY 367732 03 # 5.5;2,290.00;PUMA;ZAPATO;3;4,321.00;1,440.33;16/8/2018;L2,100.00;
KK160537;KICKSTAR WHITE KK160537 # 12.5C;1,290.00;KEDS;ZAPATO;3;1,770.00;590.00;20/8/2018;L1,150.00;
074799 01;MOCHILA PUMA ORIGINAL BLACK 074799 01;990.00;PUMA;ACCESORIOS;3;2,673.50;891.17;7/6/2018;L890.00;
022018 06;GORRA PUMA GREEN 022018 06;490.00;PUMA;ACCESORIOS;3;1,356.50;452.17;30/1/2019;L450.00;
K1016;BOLSO DE DAMA NUDE K1016;1,790.00;KENNETH COLE;ACCESORIOS;3;4,701.50;1,567.17;10/5/2019;L1,590.00;COBRAR
SC3136 845;BALON NIKE PITCH SC3136 845  # 5;850.00;NIKE;ACCESORIOS;3;2,125.00;708.33;6/6/2018;L790.00;
DB2121-04;PESA 4 LB BLUE DB2121-04;290.00;FORTIS;ACCESORIOS;3;750.00;250.00;4/3/2019;L250.00;
SP0017;SPERRY LEATHER LOTION SP0017;450.00;SPERRY TOP SIDER;ACCESORIOS;3;1,214.00;404.67;27/7/2018;L350.00;
A1KPM-J72;C.T COT LINE MADRAS SH CHRSANT A1KPM-J72 # S;1,590.00;TIMBERLAND;ROPA;3;4,531.50;1,510.50;25/7/2018;L1,490.00;
BA5775-072;NIKE. MOCHILA NK AIRMAX LIGHT/BONE BA5775-072;1,190.00;NIKE;ACCESORIOS;3;3,043.00;1,014.33;22/2/2019;L1,100.00;
FOR-8000-14-RD;GUANTES DE BOXEO RED FOR-8000-14-RD;890.00;FORTIS;ACCESORIOS;3;2,630.00;876.67;4/3/2019;L850.00;
WH58085;T. KEDS ACE LTT NATURAL BROW WH58085 # 5;2,390.00;KEDS;ZAPATO;3;2,995.00;998.33;18/3/2018;L2,190.00;
366927 01;T.P SMASH PLATFORM LX WHITE/GOLD 366927 01 # 5.5;1,750.00;PUMA;ZAPATO;3;2,670.00;890.00;16/8/2018;L1,590.00;
366963 03;T.P TURIN II NAVY/WHT 366963 03 # 7;1,790.00;PUMA;ZAPATO;3;3,040.00;1,013.33;16/8/2018;L1,590.00;
A1E9M 454;GORRA T T100010 COTTON CANVA SURF THE A1E9M 454 ;1,150.00;TIMBERLAND;ACCESORIOS;3;2,932.50;977.50;30/10/2018;L990.00;
561649C;T.CONVERSE TAUPE 561649C # 5;1,990.00;CONVERSE;ZAPATO;3;4,380.00;1,460.00;4/12/2018;L1,890.00;
7-37CMA0018312;S.LACOSTE CROCO SLIDE BLK 7-37CMA0018312 # 7;990.00;LACOSTE;SANDALIAS;3;2,836.50;945.50;2/3/2019;L950.00;
K1019;BOLSO DE DAMA MULTI STRI K1019;1,790.00;KENNETH COLE;ACCESORIOS;3;4,770.00;1,590.00;10/5/2019;L1,590.00;ESTA BUENO
SX4701 001;CALCETA NIKE BLACK  SX4701 001 M;490.00;NIKE;ACCESORIOS;3;1,356.50;452.17;8/2/2018;L450.00;
190959 01;T.P IGNITE BLACK 190959 01 # 5.5;2,290.00;PUMA;ZAPATO;3;4,031.00;1,343.67;2/6/2018;L2,100.00;
343880 015;S.N BENASSI BLACK WHITE # 7;990.00;NIKE;SANDALIAS;3;2,525.50;841.83;15/8/2018;L950.00;
924206-060;T. NIKE LEGEND TRAINER BLK/BLK 924206-060 # 7;2,590.00;NIKE;ZAPATO;3;6,692.00;2,230.67;25/2/2019;L2,390.00;
A1TJO;Z.T CITY S EDGE WP BLCK A1TJO # 7.5;3,490.00;TIMBERLAND;ZAPATO;3;9,048.50;3,016.17;17/4/2019;L3,290.00;COBRAR
A1CL6 001;CANGURERA TIMBERLAND WAIST PACK BLK A1CL6 001;750.00;TIMBERLAND;ACCESORIOS;3;2,137.50;712.50;31/5/2018;L650.00;
924206-001;T. NIKE LEGEND TRAINER BLK/MTLC 924206-001 # 7;2,390.00;NIKE;ZAPATO;3;6,595.00;2,198.33;16/4/2019;L2,190.00;ESTA BUENO
STS17714;T.SPERRY STRIPER LTHR BLK STS17714 # 7;2,590.00;SPERRY TOP SIDER;ZAPATO;3;3,935.00;1,311.67;18/8/2018;L2,390.00;
ENVIO;Envio de Productos;150.00;SIN MARCA;SIN SECCION;3;358.00;119.33;0/1/1900;L0.00;
STS83714;Z.SPERRY CREST VIBE SLATE WSH STS83714  # 5.5;2,190.00;SPERRY TOP SIDER;ZAPATO;3;5,713.00;1,904.33;2/3/2019;L1,990.00;
A1Z73;T. FLYROAM GO KNIT OX MD RED A1Z73 # 7;3,190.00;TIMBERLAND;ZAPATO;3;8,491.50;2,830.50;22/4/2019;L2,890.00;COBRAR
BB-2020E-B;BODY SCULTURE BODY TRIMMER BB-2020E-B;290.00;BODY SCULPTURE;ACCESORIOS;3;830.00;276.67;1/10/2018;L250.00;
928725-063;J. M NSW HBR JGGR FLC GREY 928725-063 # L;1,490.00;NIKE;ROPA;3;4,385.00;1,461.67;24/1/2019;L1,390.00;
090139315 BLUE/WHT;LENTES P/NADAR FUTURA ONE  090139315 BLUE/WHT;390.00;SPEEDO;ACCESORIOS;3;680.00;226.67;31/10/2016;L290.00;
WF60061;T.K. DOUBLE DECKER MINI SEQUIN WF60061 # 5;1,790.00;KEDS;ZAPATO;3;4,579.00;1,526.33;30/1/2019;L1,690.00;
A1NBI B68;C. SS MILFORD OXFORD SL DRK SAPPH A1NBI B68 L;1,290.00;TIMBERLAND;ROPA;3;3,225.00;1,075.00;26/11/2018;L1,190.00;
A1MKR 100;C. LS SUNCOOK RV POPLIN WHITE A1MKR 100 L;1,490.00;TIMBERLAND;ROPA;3;4,267.75;1,422.58;26/11/2018;L1,390.00;
A1M90 B80;PANTALON TIMBERLAND MRRR LK BLUE A1M90 B80 30X32;2,250.00;TIMBERLAND;ROPA;3;6,650.00;2,216.67;31/5/2018;L2,150.00;
367282 01;SANDALIA PUMA LEADCAT BLACK 367282 01 # 5.5;850.00;PUMA;SANDALIAS;3;2,336.00;778.67;16/8/2018;L750.00;
5215A;T.EK BRADST PTO BLACK 5215A # 11;2,990.00;TIMBERLAND;ZAPATO;3;7,065.25;2,355.08;30/10/2018;L2,790.00;
AQU-40216;LENTES AQUATEK AQU-40216;190.00;AQUATEK;ACCESORIOS;3;285.00;95.00;22/7/2016;L150.00;
AO0266-001;T. NIKE AIR MAX MOTION 2 BLK/ROYAL # 6.5;2,990.00;NIKE;ZAPATO;3;8,347.00;2,782.33;16/4/2019;L2,790.00;COBRAR
190949 03;T.P DEFY WHITE/BLACK 190949 03 # 5.5;2,490.00;PUMA;ZAPATO;3;4,225.00;1,408.33;16/8/2018;L2,290.00;
AC2286 426;MUÑEQUERA NIKE NAVY/WHT AC2286 426;250.00;NIKE;ACCESORIOS;3;574.00;191.33;1/7/2017;L190.00;
STS19318;SPERRY A/O 2-EYE LEATHER BRW STS19318 # 7.5;3,290.00;SPERRY TOP SIDER;ZAPATO;3;9,148.00;3,049.33;28/1/2019;L2,990.00;
STS18227;Z.SPERRY LEEWARD NAUT NAVY STS18227 # 7;2,990.00;SPERRY TOP SIDER;ZAPATO;3;4,535.00;1,511.67;18/8/2018;L2,790.00;
5550R;T. EK STORMBUCK DARK BROWN 5550R # 7;3,290.00;TIMBERLAND;ZAPATO;3;9,047.50;3,015.83;28/1/2019;L2,990.00;
AQ9978-001;T. NIKE TEAM HUSTLE 8 BLK/REFLECT AQ9978-001 # 5;1,690.00;NIKE;ZAPATO;3;4,816.50;1,605.50;24/1/2019;L1,590.00;
365332 02;SANDALIA P EPIC FLIP  GRY 365332 02 # 7;650.00;PUMA;SANDALIAS;3;1,959.00;653.00;10/2/2018;L550.00;
807472-011;T.N CORTEZ NYLON BLCK/WHT 807472 011 # 6.5;2,390.00;NIKE;ZAPATO;3;6,354.00;2,118.00;30/10/2018;L2,290.00;
